"NUMBER","INETSDESC","INETSHORTD","UNITS","UNITWEIGHT","PRICE1","DELDATE","DISCONT","INETIMAGE","CANTSELL"
"AARR2               ","2 1/2"" Arrow amulet                                                                                                     ","Arrows have various personal meaning and worn as a reminder of your intention. 2 1/2"" long with size being approximate","0","0.005","2.95",,0,"AARR2.jpg                                ",0
"AARRH               ","1 1/4"" Arrowhead amulet                                                                                                 ","A simple yet powerful arrowhead pendant. Arrowheads are often known as a symbol of protection, strength and courage. Size is approximate","42","0.005","2.25",,0,"AARRH.jpg                                ",0
"ABRILF              ","Bring Luck & Friendship amulet                                                                                          ","Enhance your life with our sacred talisman, designed to attract friendship, prosperity, and luck. Measuring 1 3/4"" in size, this powerful charm comes with a cord for easy wearing and carrying. ","9","0.03","15.95",,0,"ABRILF.jpg                               ",0
"ACCELD              ","Celestial Dragon amulet                                                                                                 ","Since ancient times people have respected the forces of nature, seeing divinity in Mother Earth, the Sun, the Moon, and in all life. The creative energies of the universe are represented by Celestial bodies, personified as Feminine and Masculine, and honored in rituals celebrating cycles of the year. Celestial Dragon amulet, measuring 1 3/4"" long and 1 1/2"" wide.","42","0.03","10.95",,0,"ACCELDA.jpg                              ",0
"ACCELM              ","Celtic Moon Celestial amulet                                                                                            ","The Celtic Moon celestial amulet is a great aid when you are seeking blessings for positive change in your life. Has cord. Pewter. 1 1/2"" x 3/4"". Made in USA","77","0.03","10.95",,0,"ACCELM.jpg                               ",0
"ACDRAM              ","Dragon Moon Celestial amulet                                                                                            ","Displaying a dragon curled as though it were the crescent moon, this amulet is a great focus to for helping to draw lunar energies. Has cord. Pewter. 1 1/4"" x 1"". Made in USA","11","0.03","10.95",,0,"ACDRAM.jpg                               ",0
"ACELKN              ","Celtic Knot & necklace                                                                                                  ","Four corner knot celtic design! A symbol of strength and protection. Celtic knots are complete loops that have no start or finish and could be said to represent eternity, means loyalty, faith, friendship or love. Only one thread is used in each design which symbolizes how life and eternity.

This eye-catching and stylish, this Celtic pendant necklace is perfect for adding a glamorous touch to your special occasion look. Suitable for any occasion, easy to match any clothes, a lovely adornment you'd like to wear everyday.

Comes on chain.

","20","0.03","8.95",,0,"ACELKN.jpg                               ",0
"ACGRE               ","Celtic Greenman amulet                                                                                                  ","Displaying the Greenman, the traditional symbol for nature’s rebirth, this amulet is a powerful aid in seeking transformation and rebirth of your own. Has cord. Pewter. 1 1/4"" Made in USA","13","0.03","10.95",,0,"ACGRE.JPG                                ",0
"ACHIC               ","Chinese Coin w/ stones                                                                                                  ","A recipe of ingredients with different esoteric and energetic meanings of intention. Your kit will include a dollar in the shape of a star for spiritual knowledge, crystals, a gold-colored coin and pouch for good fortune.","14","0.05","14.95",,0,"ACHICA.jpg                               ",0
"ACHOW               ","Howling Moon Celestial amulet                                                                                           ","This lead-free pewter amulet showing a crescent moon and stars overlaid with a howling wolf will aid you in calling upon the Moon and Goddess. Has cord. Pewter. 1 1/2"" x 1 1/4"". Made in USA","10","0.03","10.95",,0,"ACHOW.JPG                                ",0
"ACNAT               ","Nathair amulet                                                                                                          ","Inspired and created around the Celtic word for snake, Nathair, this amulet is a token intended to bring wisdom and guidance into your life. Has cord. Pewter. 1 1/4"" Made in USA","4","0.03","10",,0,"ACNAT.JPG                                ",0
"ACONDE              ","Confuse & Defeat Enemy amulet                                                                                           ","Enhance your protection with this potent amulet designed to bring confusion and chaos among your adversaries. Crafted from pewter, this pendant measures 1 1/4"" and includes a cord for easy wearing.","17","0.03","15.95",,0,"ACONDE.jpg                               ",0
"ACONP               ","Conjuration of Powers amulet                                                                                            ","Elevate your spiritual journey with our Conjuration of Powers amulet. Crafted with a silver-toned finish, this pendant exudes an aura of mystique and power. The pendant, measuring approximately 1 1/4"", is elegantly suspended from a 22 1/2-inch chain, allowing you to wear it comfortably and showcase its enchanting design. Whether you seek to tap into your inner strength or manifest your desires, this amulet is a symbol of empowerment and connection to higher realms. Embrace the magic and unlock your true potential with our Conjuration of Powers amulet.","6","0.05","17.95",,0,"ACONP.jpg                                ",0
"ACPENM              ","Pentacle Moon Celestial amulet                                                                                          ","Draw upon the mystic power of the moon with the Pentacle Moon celestial amulet, which is intended to help you surround yourself with lunar energies. Has cord. Pewter. 1 1/4"" Made in USA","6","0.03","10.95",,0,"ACPENM.jpg                               ",0
"ACTHO               ","Norse Pride talisman                                                                                                    ","This amulet bears Thor’s head within his hammer, his beard twirled into Celtic knotwork. A powerful symbol of strength, power and eternal protection. Has cord. Pewter. 1 1/2"" x 1 1/4"" Made in USA","10","0.05","10.95",3/13/2026 0:00:00,0,"ACTHO.JPG                                ",0
"ACTRE               ","Celtic Tree of Life amulet                                                                                              ","With night and day, between its canopy and its roots, the Celtic Tree of Life bridges the gap between heaven and earth. Has cord. Pewter. 1 1/4"" Made in USA","5","0.05","10.95",,0,"ACTRE.JPG                                ",0
"ACTRI               ","Triskele amulet                                                                                                         ","Triskele amulet, the triple goddess symbolizes the trinity in all of its forms. Body, mind, and spirit: mother, maiden, and crone and the Christian trinity, the father, son, and Holy Spirit. Lead free pewter and made in the USA. 1 1/2""","13","0.03","10.95",,0,"ACTRI.JPG                                ",0
"ACTRIS              ","Triskele Shield amulet                                                                                                  ","Displaying a triskele upon a round shield, this amulet represents the cycle of mind, body and spirit, and can aid you in your search for spiritual growth. Has cord. Pewter. 1 1/4"" Made in USA","5","0.03","10.95",,0,"ACTRIS.JPG                               ",0
"ACUNI               ","Harmonious Universe Celestial amulet                                                                                    ","The sun, moon, planets and stars gathered within the same circle of harmony. Useful in finding peace from the universal balance around us. Has cord. Pewter. 1 1/2"" x 1"" Made in USA","84","0.03","10.95",,0,"ACUNI.jpg                                ",0
"ACVENR              ","Venus Rising Celestial amulet                                                                                           ","A moon made partly with Celtic knotwork and a manmade gem between the tips of the crescent, this amulet is great for love spells, and magic of passion. Has cord. Pewter. 1 1/4"" Made in USA","62","0.03","10.95",,0,"ACVENR.jpg                               ",0
"ACWIN               ","Windblown Celestial amulet                                                                                              ","Wear the Windblown Celestial Amulet or use it in your spell craft to help find spiritual and emotional shelter when the winds of life have blown you off course. Has cord. Pewter. 1 1/4"" Made in USA.","9","0.03","10.95",,0,"ACWIN.jpg                                ",0
"ADESEN              ","Destroy Enemies talisman                                                                                                ","Introducing our silver toned Destroy Enemies talisman, a powerful accessory designed to help you overcome any obstacles in your path. With its sleek design and intricate detailing, this talisman is not only a symbol of strength but also a stylish addition to any outfit. With its sleek design and intricate detailing, this talisman is not only a symbol of strength but also a stylish addition to any outfit. Whether you're facing personal challenges or dealing with negative energies, this talisman is here to provide you with protection and empower you to conquer your enemies.","0","0.05","17.95",1/1/2027 0:00:00,0,"ADESENA.jpg                              ",0
"ADISS               ","Discover Secrets amulet                                                                                                 ","A whisper of hidden knowledge, now within reach. This talisman is designed to help attune your senses to subtle truths, gently opening doors to insights that were just out of view. Its energy encourages curiosity, clarity, and quiet revelation, like carrying a pocket-sized key to the unseen. Comes with a 22"" chain","3","0.05","17.95",1/1/2027 0:00:00,0,"ADISS.jpg                                ",0
"ADIST               ","Discover Treasures amulet                                                                                               ","Introducing the Discover Treasures amulet, a stunning silver toned pendant that is sure to catch everyone's attention. The pendant comes with a 22"" chain, allowing you to wear it comfortably and showcase its beauty.  Measuring at 1 1/2"", the pendant is the perfect size to make a statement without being too overwhelming. Please note that sizes may vary slightly due to the handmade nature of the pendant.","19","0.05","17.95",,0,"ADIST.jpg                                ",0
"ADIVP               ","Divine Protection amulet                                                                                                ","This powerful amulet is designed to provide the wearer with protection against evil and negativity, offering divine shielding and guarding properties. Measuring 1"" in size, it comes with a convenient cord for easy wearing.","21","0.03","15.95",,0,"ADIVP.jpg                                ",0
"AEEPRO              ","Evil Eye Protection talisman                                                                                            ","Evil Eye of protection with cascading glass eyes that are the same on both sides. Protect yourself and your energy with this great hanging piece. Hangs 5 1/2"" with sizes that may vary.","252","0.05","4.95",,0,"AEEPROA.jpg                              ",0
"AEVIE               ","1/2"" Evil Eye amulet                                                                                                    ","This is a small but powerful evil eye amulet. Gold toned hardware and approximately 1/2"" with hardware, evil eye itself is 1/4""","61","0.005","1.95",,0,"AEVIE.jpg                                ",0
"AEVIEH              ","1 1/8"" Evil Eye hanger amulet                                                                                           ","Evil eye wall hanging: this is thick blown glass with an outer ring of translucent deep blue glass and opaque inner circles of white, blue, and black. Hang where light can strike it for extra color. Try in on your wall, rear view mirror or window to keep evil away. Has hanging cord.
","87","0.1","3.95",,0,"AEVIEH.jpg                               ",0
"AFATH               ","3/4"" Fatima Hand amulet                                                                                                 ","A silvertone Fatima hand with a spinning Evil Eye in the center. Approximately 3/4""","51","0.005","2.5",,0,"AFATH.jpg                                ",0
"AFOOG               ","Fools Gold Charm                                                                                                        ","Carry this piece of Fool's Gold in a gris gris or mojo bag or even just in your pocket or purse to help attract money and prosperity into your life. Pyrite. 3/4"" - 1""","59","0.05","2.95",,0,"AFOOG.JPG                                ",0
"AGFER               ","Goddess of Fertility amulet                                                                                             ","This amulet displays the Goddess, framed within he raised arms with a spiral pattern marking her womb. Has cord. Pewter. 1 1/2"" x 1/2"". Made in USA","13","0.03","10.95",,0,"AGFER.JPG                                ",0
"AGIVHP              ","Give Healing Power amulet                                                                                               ","Enhance your well-being with our Give Healing Power amulet, a stunning silver-toned pendant that comes with a 22 1/2 inch chain. The pendant itself measures around 1 1/4 inches, making it the perfect accessory to carry with you wherever you go.


","3","0.04","17.95",1/1/2027 0:00:00,0,"AGIVHPA.jpg                              ",0
"AGIVK               ","Give Knowledge amulet                                                                                                   ","Enhance your wisdom with our Give Knowledge amulet. Crafted with a silver-toned finish, this pendant exudes elegance and intellect. The pendant measures approximately 1 1/4"" and comes with a 20"" chain, allowing you to wear it comfortably. Unlock the power of knowledge and let this amulet guide you on your quest for enlightenment.","14","0.04","17.95",,0,"AGIVK.jpg                                ",0
"AGLOT               ","LotusS Goddess amulet                                                                                                   ","With its roots in the mud, the Lotus rises through water until it blossoms as a flower above its surface. Always reaching towards the light, we are reminded of our own spiritual journey towards enlightenment and purity. Lotus Goddess amulet with cord. 1 1/2"" with cord.","75","0.03","10.95",,0,"AGLOTA.jpg                               ",0
"AGMOO               ","Moon Goddess amulet                                                                                                     ","Moon Goddess pendant for consciousness. The waxing, full, and waning phases of the moon symbolize the cycle of life from birth to death. The Moon Goddess brings light to connection with the universal consciousness. Pendant length is 1 1/2"" and comes with cord.","87","0.03","10.95",,0,"AGMOOA.jpg                               ",0
"AGPROS              ","Goddess of Prosperity amulet                                                                                            ","Prosperity Goddess pendant for Abundance. In opening up our hearts to giving and receiving, blessings and gifts come easily. Abundance and joy flow in our life. The Goddess of Prosperity is the embodiment of success and fulfillment. Pendant length is 1 1/2"" and comes with cord.","75","0.03","10.95",,0,"AGPROSA.jpg                              ",0
"AHCOM               ","Celtic Harmony Completion amulet                                                                                        ","Celtic harmony Completion pendant. Celtic knots are generally formed of endless lines signifying the binding of the soul to the physical world. The 10 points surrounding the knotwork are symbolic of completion within life. Pendant length is 1 1/2"" and comes with cord.","82","0.03","10.95",,0,"AHSEXA.jpg                               ",0
"AHEARH              ","Celtic Earth Harmony amulet                                                                                             ","Celtic harmony pendant for Earth harmony. The wheel shape, (or circle) represents man's harmony with nature. It radiates gentle peace and possesses soothing qualities. The circle is the spirit of Earth harmony. 1 1/2"" Pendant that comes with a cord.","59","0.03","10.95",,0,"AHEARHA.jpg                              ",0
"AHPRO               ","Celtic Harmony Protection amulet                                                                                        ","This amulet depicts a maze bordered in woven Celtic knots. This has long been held as a powerful form of protection against negative energy. Has cord. Pewter. 1 1/4"" Made in USA","67","0.03","10.95",,0,"AHPROA.jpg                               ",0
"AHSPIA              ","Celtic Harmony Spiritual Awakening amulet                                                                               ","Celtic harmony pendant for spiritual awakening. Celtic spirals represent beginnings and births as in flowering buds. The cross with spirals symbolizes new spiritual awakenings. 1 1/2"" Pendant with cord.","79","0.03","10.95",,0,"AHSPIAA.jpg                              ",0
"AIDSS               ","Discover Treasures amulet                                                                                               ","Introducing the Discover Treasures amulet, a stunning silver toned pendant that is sure to catch everyone's attention. The pendant comes with a 22"" chain, allowing you to wear it comfortably and showcase its beauty.  Measuring at 1 1/2"", the pendant is the perfect size to make a statement without being too overwhelming. Please note that sizes may vary slightly due to the handmade nature of the pendant.","11","0.05","17.95",,0,"ADIST.jpg                                ",0
"AINDH               ","3/4"" Indian Head amulet                                                                                                 ","This amulet is a depiction of a chief with a detail headdress. Made in India and size is approximate","36","0.005","1.95",,0,"AINDH.jpg                                ",0
"AJOBT               ","Job's Tears amulet                                                                                                      ","A natural talisman carrying gentle protection and grounding energy. This amulet features 7 Job’s Tears, each believed to attract luck, clarity, and resilience. For best results wear or carry on you.","31","0.05","3.95",1/1/2027 0:00:00,0,"AJOBT.jpg                                ",0
"AKEY3               ","3 1/4"" Key amulet                                                                                                       ","Keys have been a long time symbol of opening and closings, liberation, as well unlocking the key to your heart. Wear this as an extention of your desire. Size is approximate.","120","0.01","3.95",,0,"AKEY3.jpg                                ",0
"ALEGAH              ","1"" Legit Azabache Hand amulet                                                                                           ","This Azabache Hand is a protective talisman and as an Evil Eye lucky charm. Approximately 1""","44","0.005","8.95",,0,"ALEGAH.jpg                               ",0
"ALUC8               ","Lucky 8 amulet                                                                                                          ","This amulet is blessed and inscribed for prosperity and good luck. The powerful symbols enrich you and produce abundance of wealth and happiness. 1 1/2"" with cord.","19","0.03","15.95",,0,"ALUC8.JPG                                ",0
"ALUCC               ","1/2"" Lucky Clover amulet                                                                                                ","Wearing a 4-leaf clover is said to bestow faith, hope, love and luck upon the wearer. Silver toned and approximately 1/2""","91","0.005","1.95",,0,"ALUCC.jpg                                ",0
"AMONT               ","Money Tree talisman                                                                                                     ","This is a silver toned Money Tree talisman. Attached to a 22"" chain with pendant measuring 1 1/2""","75","0.05","17.95",,0,"AMONTA.jpg                               ",0
"AMYSE               ","7/8"" Mystic Eye amulet                                                                                                  ","The Mystic Eye is a powerful symbol of spiritual awakening, protection and watchfulness over humanity. Size is approximate and amulet only","88","0.05","2.95",,0,"AMYSE.jpg                                ",0
"AOCHA               ","1"" Ochosis Arrow amulet                                                                                                 ","This is a bow and arrowing symbolizing Ochosis. Silver toned and approximately 1""","89","0.005","2.95",,0,"AOCHA.jpg                                ",0
"APEAG               ","1' peace sign, gold amulet                                                                                              ","Radiate good vibes with this gold-toned peace sign pendant. Features an adjustable cord ensures a comfortable fit for any style.","50","0.005","7.95",,0,"APEAG.jpg                                ",0
"APEN                ","5/8"" Pentagram amulet                                                                                                   ","A simple interwoven Pentagram on a silver toned jump ring. Approximately 5/8''","24","0.005","2.25",,0,"APEN.jpg                                 ",0
"APEW1               ","50 Lb Pewter ( box varies 48- 52#)                                                                                      ","pewter blanks for jewelry making.","269.82","1","16",,0,"APEW1.jpg                                ",0
"APROA               ","Protect from Accidents amulet                                                                                           ","Keep yourself safe and protected with our Protect from Accidents amulet. This amulet comes with a silver chain and features a 1 1/4"" pendant, making it a stylish and practical accessory to wear every day. The 22"" chain ensures a comfortable fit, while the protective properties of the amulet give you peace of mind wherever you go. Stay safe and stylish with this must-have accessory.","0","0.04","17",1/1/2027 0:00:00,0,"APROAA.jpg                               ",0
"ARURU               ","Rune Uruz amulet                                                                                                        ","Rune pendant Uruz is the symbol for wild Ox. Rune of strength and good health. Indicates ability to resist disease. Pendant measures 1"" and comes with a cord.","77","0.03","10.95",,0,"ARURUA.jpg                               ",0
"ASCI                ","1"" Scissor amulet                                                                                                       ","Scissors are not just for cutting physical items, it can be a powerful symbol of seperation, such as energy ties. Can also be a means of unity and intertwing in relation to other people in our lives. Wear this as an extention of your intention. Size is approximate","16","0.005","1.95",5/1/2026 0:00:00,0,"ASCI.jpg                                 ",0
"ASECM               ","Secrets of Money talisman                                                                                               ","This Secrets of Money talisman is intended to empower your spells of money drawing and attract wealth. Fobs and colors vary. Has cord. Pewter. 1 1/4” x 1”","55","0.05","17.95",,0,"ASECM.jpg                                ",0
"ASHADA              ","1 1/2"" Shango Double Ax amulet                                                                                          ","A Chango Orisha amulet pendant. Approximately 1 1/2"" long","70","0.005","2.95",,0,"ASHADA.jpg                               ",0
"ASKE                ","1 1/2"" Skeleton amulet                                                                                                  ","A silvertone skeleton measuring approximately 1 1/2""","23","0.005","2.95",,0,"ASKEA.jpg                                ",0
"ASNA                ","1 1/2"" Snake amulet                                                                                                     ","A silver toned slithering snake amulet. Measures approximately 1 1/2""","33","0.005","3.95",,0,"ASNA.jpg                                 ",0
"ASOLH               ","Solomon's Hexagram amulet                                                                                               ","An ancient symbol of wisdom and divine protection. The Hexagram, also known as the Seal of Solomon unites opposing forces in perfect harmony. This powerful amulet is believed to shield the wearer from negative energies while enhancing spiritual insight, clarity, and inner strength. On a 22"" chain","0","0.04","17.95",1/1/2027 0:00:00,0,"ASOLH.jpg                                ",0
"ASOLMD              ","Solomon's Magic Discovery amulet                                                                                        ","This is a silver toned Solomon's magic discovery pendant. Attached to a 22 1/2"" chain with pendant measuring approximately 1 1/4""","3","0.04","17.95",1/1/2027 0:00:00,0,"ASOLMD.jpg                               ",0
"ASOLP               ","Solomon's Pentagram amulet                                                                                              ","Elevate your style with the Solomon's Pentagram amulet. This stunning pendant comes with a sleek silver toned chain, adding a touch of power to any outfit. The 1"" pendant is perfectly complemented by the 22"" chain, creating a balanced and fashionable look. Please note that sizes are approximate, ensuring a comfortable fit for all.","3","0.04","17.95",1/1/2027 0:00:00,0,"ASOLPAA.jpg                              ",0
"ASOLS               ","Solomon's Seal amulet                                                                                                   ","Enhance your style with this elegant silver toned Solomon's Seal pendant, perfect for everyday wear or special occasions. The pendant is attached to a 22 1/2 inch chain, making it a versatile accessory that can be easily paired with any outfit. With a pendant measuring approximately 1 inch, this amulet is a subtle yet eye-catching addition to your jewelry collection. Solomon's Seal adds a touch of mystique, making it a must-have piece for those who appreciate unique and meaningful jewelry.","8","0.04","15.95",,0,"ASOLSA.jpg                               ",0
"ASTBEN              ","3/4"" St Benedict amulet                                                                                                 ","Wear this Saint Benedict amulet to protect you from curses, evil and vice. This powerful piece will also help protect you against diseases. Image shows front and back and these are sold by the piece.","87","0.005","2.95",,0,"ASTBEN.jpg                               ",0
"ATIBBON23           ","(set of 23) T ibetan Bone Charm various                                                                                 ","Each of these bone charms have been carved with symbols for protection and empowerment. No two are alike! No cord. 1 1/4""","100","0.7","63.95",,0,"ATIBBON.jpg                              ",0
"ATRAV               ","Raven totem amulet                                                                                                      ","Reach out to the Raven to aid you in guarding your secrets, overcoming obstacles, and otherwise aiding you in your daily trials with this amulet. Made in USA. Has cord. Pewter. 1"" x 1"" Made in USA","0","0.03","10.95",3/13/2026 0:00:00,0,"ATRAV.JPG                                ",0
"ATREL               ","3/4"" Tree of Life amulet                                                                                                ","Wear this Tree of Life amulet as a sacred symbol of connection. Represented through its roots being the connection below and its branches reaching upward to the above. Size is approximate. Pendant only","21","0.005","1.95",,0,"ATRELL.jpg                               ",0
"ATRETMP             ","1 1/4"" Tree of Life Triple Moon Pentagram amulet                                                                        ","This Tree of Life pendant with a Triple Moon design is a stunning piece of jewelry. Made from pewter, it features intricate detailing that adds to its overall charm. Measuring 1 1/4"" in size, it is the perfect accessory to showcase your love for nature and spirituality.","29","0.005","3.95",,0,"ATRETMP.jpg                              ",0
"ATRIL               ","1 1/8"" Triquetra amulet                                                                                                 ","Triquetra an ancient symbol holding the idea of God, Son, and Holy Spirit. Simple yet powerful Triquetra pendant.","17","0.01","2.95",,0,"ATRIL.jpg                                ",0
"ATRIMP              ","1 1/8 Triple Moon Pentagram amulet                                                                                      ","This 1 1/8 Triple Moon Pentagram amulet is a beautiful representation of the Triple Moon goddess symbol, accented with a Pentagram in the middle. The design is simple yet powerful, making it a perfect accessory for anyone drawn to the energies of the moon and the elements. The size of the amulet is approximate, adding to its unique charm and appeal.","54","0.1","2.95",,0,"ATRIMP.jpg                               ",0
"ATRIQU              ","3/4"" Triquetra amulet                                                                                                   ","Triquetra an ancient symbol holding the idea of God, Son, and Holy Spirit. Simple yet powerful Triquetra pendant.","0","0.005","2.95",,0,"ATRIQU.jpg                               ",0
"AWATT               ","Wicca Attraction amulet                                                                                                 ","This amulet uses this powerful symbolism to empower your spells, particularly love spells and spells of money drawing. Made in USA. Has cord. Pewter. 1 1/2” x 1”","45","0.03","10.95",,0,"AWATT.JPG                                ",0
"AWBAL               ","Wicca Balancing amulet                                                                                                  ","This amulet is a powerful symbol of the Goddess, and a great focus for balancing your energies as well as the energies around you. Made in USA. Has cord. Pewter. 1 1/2” x 1”.  Made in USA","4","0.03","10.95",,0,"AWBAL.JPG                                ",0
"AWDIR               ","Wicca Direction amulet                                                                                                  ","Shaped like a dagger, this small amulet is intended to help direct spiritual energies in a fashion similar to an athame. Made in USA. Has cord. Pewter. 2"" x 1/2""","74","0.03","10.95",,0,"AWDIR.JPG                                ",0
"AWINF               ","Win the Female talisman                                                                                                 ","Elevate your style with this stunning silver toned Win the Female talisman necklace. The 22"" chain perfectly complements the 1 1/4"" pendant, making it a versatile piece for any outfit or occasion. ","6","0.05","17.95",,0,"AWINFA.jpg                               ",0
"AWNEW               ","Wicca New Beginnings amulet                                                                                             ","Showing a sky clad woman raising an offering before a pentagram, this amulet is intended to aid you in being ready for a new beginning. Silver toned and has cord. Pewter. 1 3/4” x 1 1/4” Made in USA","86","0.03","10.95",,0,"AWNEW.JPG                                ",0
"AWPOW               ","Wicca Power amulet                                                                                                      ","The Goddess standing within a horizontal, crescent moon is a powerful representation of the feminine divine. Made in USA. Has cord. Pewter. 1 1/2” ","10","0.03","10.95",,0,"AWPOW.JPG                                ",0
"AWPRO               ","Wicca Protection amulet                                                                                                 ","This amulet is a powerful aid in keeping evil spirits and curses from reaching the intended target, offering protection to the wearer. Made in USA. Has cord. Pewter. 1”. ","2","0.03","10.95",3/13/2026 0:00:00,0,"AWPRO.JPG                                ",0
"AWSPI               ","Wicca Spiritual Rebirth amulet                                                                                          ","The pentagram representing a mortal life and the cauldron the womb, this amulet is a powerful aid in your search for spiritual rebirth. Made in USA. Has cord. Pewter. 1 3/4” x 3/4”","46","0.03","10.95",,0,"AWSPI.JPG                                ",0
"AWSTA               ","Wicca Stability amulet                                                                                                  ","Wear this amulet of a braided crescent moon and interwoven pentagram, to find strength and stability within you and without. Made in USA. Has cord. Pewter. 1 1/4”","3","0.03","10.95",,0,"AWSTA.JPG                                ",0
"AWWIS               ","Wicca Wisdom amulet                                                                                                     ","A crescent moon, encircled in mists that form the wizened face of an old man, this amulet is a powerful symbol of the divinity that shrouds us. Made in USA. Has cord. Pewter. 1 1/4”","4","0.03","10.95",,0,"AWWIS.JPG                                ",0
"B200SPE             ","200 Spells for Young Witch & Wizard (hc) by Kilkenny Knickerbocker                                                      ","Amaze your friends, confound your enemies, and impress your professors with 200 spells for the young witch and wizard, an enchanting collection of two hundred brand-new spells, curses, jinxes, and other incantations for kids. Each entry includes a diagram for moving your wand, difficulty level, and important (and usually hilarious) warnings on what can, uh, go wrong. Add these new spells to your Harry Potter favorites and win every duel! A 5.2"" x 8.1 hardcover book with 212 pages for readers ages 6-12.","2","0.9","15.99",,0,"B200SPE.jpg                              ",0
"B27ASTP             ","2026 Astrological Pocket Planner by Llewellyn                                                                           ","Astrologers' favorite pocket planner for 30 years. This little planner can go everywhere you go, and its perfect for finding the best dates for important events and activities. From vacations and parties to meetings and moving days, you'll know the right time to schedule anything.","0","0.4","9.99",,1,"B26ASTP.jpg                              ",1
"B27ASTW             ","2026 Astrological Calendar by Llewellyn                                                                                 ","Since 1932, this 40-page calendar has provided breathtaking visuals and must-have astrological insights. You'll enjoy phenomenal artwork and 16 pages of bonus material.","0","1","16.99",,1,"B26ASTW.jpg                              ",0
