"NUMBER","INETSHORTD"
"B27ASTP             ","Astrologers' favorite pocket planner for 30 years. This little planner can go everywhere you go, and its perfect for finding the best dates for important events and activities. From vacations and parties to meetings and moving days, you'll know the right time to schedule anything."
"B27ASTW             ","Since 1932, this 40-page calendar has provided breathtaking visuals and must-have astrological insights. You'll enjoy phenomenal artwork and 16 pages of bonus material."
"B27BLACAT           ","An elegant calendar celebrating the mystery and magic of our favorite familiar. Each month features enchanting black cat photography with subtle nods to the season of the year. A sophisticated favorite for cat lovers, magical homes, and year-round Halloween fans. Perfect for customers seeking a little feline enchantment. Includes moon phases icons and new/full moon signs, designed in USA, printed on silk coated paper, and spiral bound."
"B27CANMAG           ","A year of guided candle spellwork! This witchy wall calendar features a unique candle magic spell each month. Magic for purpose, prosperity, breaking bad luck, wax divination and more. Includes moon phase icons and a mystical aesthetic that appeals to modern witches and magic workers of all traditions. Includes moon phases icons and new/full moon signs, designed in USA, printed on silk coated paper, and spiral bound."
"B27CATRID           ","A whimsical calendar where cats float through dreamy skies on giant crystals. Each month features enchanting artwork that blends magical cats, galaxy photography, and sparkling gems, perfect for crystal lovers, cat people, and anyone with a playful spirit. A unique pick that’s been a customer favorite five years running. includes moon phases icons and new/full moon signs, designed in USA, printed on silk coated paper, and spiral bound."
"B27CRYMAG           ","A shimmering celebration of crystal power throughout the year. Each month highlights a magical crystal paired with a simple affirmation &amp; crystal benefits. Includes moon phase icons and stunning, close-up gemstone photography. Great visual appeal for metaphysical shops &amp; and crystal boutiques looking for an eye-catching, informative calendar. includes moon phases icons and new/full moon signs, designed in USA, printed on silk coated paper, and spiral bound."
"B27DAIP             ","Plan for success with the most trusted and astrologically detailed datebook available. Since 1978, this essential guide has provided the best times to do anything on a monthly, daily, and even minute by minute basis. Featuring calendar spreads with room for notes and a snapshot view of each month. Whether you're a beginner or a seasoned astrologer, you will enjoy this 2026 Daily Planetary Guide."
"B27HERA             ","For twenty-seven years, Llewellyn’s Herbal Almanac has been a trusted source of inspiration for growing, using, and benefiting from nature’s most exciting plants. No matter your skill level, you'll love the bountiful information on gardening, cooking, crafts, health, beauty, history, and lore. Featuring a twelve-month gardening log with calendars, moon phases and signs, tips, and a special feature on adapting your gardening practice to climate change, this almanac will inspire you throughout the year."
"B27KITWIT           ","A cozy, cottagecore-inspired calendar for the hearth and home. Each month features a seasonal kitchen spell using common herbs &amp; spices, blending folk magic with everyday cooking. Includes moon phase icons, magical lore for each ingredient, and charming illustrations. Perfect for folk &amp; kitchen witches of any tradition. includes moon phases icons and new/full moon signs, designed in USA, printed on silk coated paper, and spiral bound."
"B27MAGA             ","Packed with spells, rituals, and new ideas for enhancing your magical practice, this almanac has been a favorite resource for over three decades. You'll find two dozen articles, grouped by element, on a wide variety of topics. This almanac features an energetic forecast, which analyzes major astrological movements, numerology, the zodiac, and tarot. You'll also find recommendations for what kinds of magic to do and a convenient calendar section with world festivals, holidays, and the 2026 sabbats."
"B27MAGGCW           ","These twelve enchanting illustrations will comfort and inspire you throughout the year. Each magical feline will put a smile on your face and mystical energy in your practice every day. Includes major US, UK, and Canadian holidays, eclipses, and moon phases."
"B27MAGHER           ","Our bestselling magical calendar for three years running. Each month features a seasonal herbal spell aligned with the energy of the natural world, along with herbal lore and bold moon phase icons. Customers love the simple spells, quick-reference magical correspondences, and elegant botanical design. Includes moon phases icons and new/full moon signs, designed in USA, printed on silk coated paper, and spiral bound."
"B27MAGMW            ","Illuminate the magic in each month with enchanting art, spells, and lore. Featuring illustrations by renowned artists, this calendar offers lunar inspiration every day. Each of these dazzling illustrations is paired with a powerful spell. In addition to US, UK, Canadian, and Pagan holidays, this calendar provides moon phases, eclipses, supermoons, and other astrological wisdom."
"B27MOOD             ","Illuminating the perfect times to schedule any event or task, Llewellyn's Moon Sign Datebook makes it easy to make plans and stay organized. Each week, you'll find extensive information about Mercury retrogrades, what sign and phase the Moon is in, and best days for planting and fishing. A perfect companion to Llewellyn's bestselling Moon Sign Book, this datebook includes detailed lunar-related articles and illustrations throughout."
"B27MOOMAG           ","A beautiful calendar devoted to the magic of the moon. Each month features a different lunar-based spell or ritual, guiding the user through the year in harmony with moon’s power. Includes bold moon phase icons and stunning moon photography. A must-have for syncing up with the rhythms of the natural world. Includes moon phases icons and new/full moon signs, designed in USA, printed on silk coated paper, and spiral bound."
"B27MOOS             ","For 120 years, this bestselling almanac has been an essential guide for millions of astrologers, gardeners, and laypeople alike. With it, you can find the best times to schedule all your events and activities. This essential planner also suggests ways to overcome challenges and live a more spiritual life. You'll enjoy fascinating articles on solar-lunar aspects, phenology, backyard grape growing, the astrological importance of the Moon's dark spots, and more. Filled with dozens of tips on supporting your health and improving your home, this book helps you connect to the Moon's energy whenever you need it."
"B27POIPLA           ","Customer request! A darkly enchanting calendar featuring twelve notorious plants used in witchcraft and folklore. Each month explores a different poisonous plant along with it’s historical and magical uses. Moon phase icons and gothic botanical drawings create shadowy drama. For lovers of the darker side of botanicals. Includes moon phases icons and new/full moon signs, designed in USA, printed on silk coated paper, and spiral bound."
"B27SABA             ","New ideas for your seasonal celebrations. Featuring an abundance of articles and activities, this almanac guides our through the Wheel of the Year with fresh perspectives and old-world wisdom. Energize your sabbat observances with festive spells, rituals, crafts, and recipes supplied by prestigious practitioners. Explore the dark aspects of Ostara, work with harvest deities for Mabon, and cast a manifestation spell for Beltane. Create personalized oracle cards for Samhain, pressed-flower suncatchers for Lammas, mushroom wellington for Yule, and more."
"B27SEAHER           ","A stunning botanical calendar featuring twelve seasonal herbs, each paired with traditional uses &amp; plant lore. Features a new, simple herb recipe every month with herb health tips and guidance. This calendar celebrates the power of seasonal living, with bold moon phase icons for added ritual rhythm. This beautiful educational tool for herbalists &amp; green witches is a consistent best-seller year after year. Includes moon phases icons and new/full moon signs, designed in USA, printed on silk coated paper, and spiral bound."
"B27SEAZOD           ","A vibrant calendar that journeys through the zodiac wheel, highlighting each sun sign’s season with magical themes. Includes moon phase icons and astrological art to inspire cosmic alignment all year long. Notates new moon and full moon signs, as well as mercury retrograde and direct. Ideal for intro to astrology customers. Includes moon phases icons and new/full moon signs, designed in USA, printed on silk coated paper, and spiral bound."
"B27SUNS             ","An astrological favorite for more than forty years, Llewellyn's Sun Sign Book provides detailed horoscopes and forecasts for every sign. Professional astrologer Claire Comstock-Gay helps you find exciting opportunities in your future, no matter your skill level. Newly redesigned, this year's edition will help you improve many aspects of your life."
"B27TAR              ","Unique vertical design! A mystical calendar for tarot lovers, featuring a focus card each month. Designed to help deepen intuition and align with nature’s rhythm, this calendar includes moon phase icons and bold Rider-Waite artwork. Perfect for metaphysical shoppers looking to deepen their divination practice year-round. Includes moon phases icons and new/full moon signs, designed in USA, printed on silk coated paper, and spiral bound."
"B27WIC              ","A beautifully designed calendar marking the key dates of the Wiccan year, including solstices, equinoxes, and cross-quarter days. Bold moon phase icons for observing the Esbats. Simple symbols and seasonal wicca-themed imagery guide users through the Wheel of the Year with reverence and clarity. A wonderful tool for beginners and long-time wiccans. Includes moon phases icons and new/full moon signs, designed in USA, printed on silk coated paper, and spiral bound."
"B27WITCA            ","Supercharge your craft and boost your practice with this inspirational collection of magical perspectives written by leading-edge voices in the Witchcraft and Pagan communities. Twenty-seven prominent craft practitioners share thought-provoking insight and hands-on practices that foster community, spiritual development, and abundance. This year's edition includes spells, rituals, projects , and advice from popular Witch and Pagan writers."
"B27WITD             ","Tips, Lore, and Inspiration for the Wise Witch. This enchanting datebook has helped Witches and Pagans enhance their practice and coordinate their activities, magical and mundane, for nearly thirty years. With lovely scratchboard illustrations by award-winning artist Jennifer Hewitson and astrological insights to guide your weekly planning, you'll enjoy a year full of success and magical moments."
"B27WITS             ","Cast yourself an exciting year one spell at a time with this collection of new workings, recipes, rituals, and meditations. Crafted with simplicity in mind, most bewitchments require only simple tools and ingredients, making them fun and accessible regardless of your experience. It features enchantments for love, health, money, protection, travel, home and garden, and more. Daily color and incense recommendations, moon signs and phases, a glossary of magical terms, traditions specific to each month, and space for notes."
"B27WITW             ","The most popular Witches' calendar for nearly 30 years. Make each day more magical with not only twelve original pieces by award-winning illustrator Jennifer Hewitson, but also spells, astrological data, and Witches' holidays. 2026 Witches' calendar provides the Moon's signs and phases, daily color correspondences, solar and lunar eclipses, lunar gardening tips, and Celtic tree months. It also offers information on planetary motions, such as retrogrades, and correspondence tables for working powerful magic. Includes US, Canadian, and Pagan holidays."
"B365DAYH            ","Hoodoo is a bold spiritual tradition that helps enhance your wellbeing and solve everyday problems. This practical, do-it-yourself guide shows you how to use spells, rites, recipes, mojos, and curios to enrich your life and be ready for whatever comes your way. 365 Days of Hoodoo starts by providing the basics of Hoodoo, and then gradually builds your knowledge day after day. You'll discover the essential components for your practice, how to master the parts of your life that seem out of control, and the various ways Hoodoo can improve love, prosperity, protection, and much more. This impressive book also features lore, prayers, potions, altars, baths, and meditations."
"B369LAWA            ","The love, success, and self-image you desire is already yours. All you have to do is manifest it. The law of attraction is based on the belief that positive thinking creates energy, attracting that which you seek. The 369 method of manifestation draws your dreams toward you by channeling your energy into intentions that you repeat three times in the morning, six times at mid-day, and nine times in the evening. This inspiring workbook is the tool you need to stay on track and ensure your positive energy is at its peak. By sticking with each step in the process, you'll arrive at your destiny. A 6.1"" x 8.4"" paperback book with 192 pages."
"B777OTH0AC          ","777 Other Qabalistic Writings by Aleister Crowley edited and introduced by Dr. Israel Regardie, find within the three texts of Gematria, Sepher Sephiroth, and 777."
"BADVCAN             ","Advanced Candle Magick by Ray Buckland The author’s first book on candle magick, Practical Candle burning Rituals is the classic text on candle magick. This book picks up where the previous left off, taking you to the next level in the art of candle magick."
"BADVWIT             ","Written for those who are looking for deeper levels of intuitive awareness and for those who are already on their magical journey, Advanced Witchcraft is a powerful book of spellcraft and lessons. Learn how to not just practice but also live your magic, gaining insight into concepts such as dreamwork, trancework, and pathworking. Work with natural and elemental spirits and take steps toward spiritual safety. Master shape-shifting, glamour, and the crafting of talismans and charms. If you are in a place where you don’t know what the next witchy step is, Advanced Witchcraft is here to be your guide. A paperback book with 200 pages"
"BAFRAMEM            ","An inspired herbal guide to natural living with ancient techniques, remedies, and rituals from around the world centered on the rhythms of the seasons. The changing of the seasons is magickal, green leaves transforming into browns and golds, snow melting to show fresh buds. We all recognize these telltale signs, but few of us are aware of the powerful impact each season has on our spiritual lives. Whether sunny, snowy, windy, rainy, cold, or humid, the weather has a dramatic effect on our being wherever we may live. Drawing upon her own ancestral heritage, as well as other cultures and those that have influenced her, Bird offers a lifetime of wisdom and expert botanical knowledge while sharing her path to a holistic and magickal life. Guidance from all over the world, and from classical and modern traditions. A 6"" x 8"" paperback book with 272 pages."
